Round,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
1,0.005,0.005,0.005,0.005,0.6,0.6,0.6,0.6,0.005,0.6
2,5e-05,5e-05,5e-05,5e-05,0.7,0.7,0.7,0.7,0.10500000000000001,0.7
3,5.000000000000001e-07,5.000000000000001e-07,5.000000000000001e-07,5.000000000000001e-07,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.20500000000000002,0.7999999999999999
4,5.000000000000001e-09,5.000000000000001e-09,5.000000000000001e-09,5.000000000000001e-09,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.30500000000000005,0.8999999999999999
5,5.000000000000001e-11,5.000000000000001e-11,5.000000000000001e-11,5.000000000000001e-11,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.405,0.9999999999999999
6,5.000000000000001e-13,5.000000000000001e-13,5.000000000000001e-13,5.000000000000001e-13,1.0,1.0,1.0,1.0,0.505,1.0
7,5.000000000000001e-15,5.000000000000001e-15,5.000000000000001e-15,5.000000000000001e-15,1.0,1.0,1.0,1.0,0.605,1.0
8,5.000000000000001e-17,5.000000000000001e-17,5.000000000000001e-17,5.000000000000001e-17,1.0,1.0,1.0,1.0,0.705,1.0
9,5.000000000000001e-19,5.000000000000001e-19,5.000000000000001e-19,5.000000000000001e-19,1.0,1.0,1.0,1.0,0.8049999999999999,1.0
10,5.000000000000001e-21,5.000000000000001e-21,5.000000000000001e-21,5.000000000000001e-21,1.0,1.0,1.0,1.0,0.9049999999999999,1.0
11,5.0000000000000014e-23,5.0000000000000014e-23,5.0000000000000014e-23,5.0000000000000014e-23,1.0,1.0,1.0,1.0,1.0,1.0
12,5.000000000000001e-25,5.000000000000001e-25,5.000000000000001e-25,5.000000000000001e-25,1.0,1.0,1.0,1.0,1.0,1.0
13,5.0000000000000016e-27,5.0000000000000016e-27,5.0000000000000016e-27,5.0000000000000016e-27,1.0,1.0,1.0,1.0,1.0,1.0
14,5.0000000000000015e-29,5.0000000000000015e-29,5.0000000000000015e-29,5.0000000000000015e-29,1.0,1.0,1.0,1.0,1.0,1.0
15,5.000000000000001e-31,5.000000000000001e-31,5.000000000000001e-31,5.000000000000001e-31,1.0,1.0,1.0,1.0,1.0,1.0
16,5.0000000000000016e-33,5.0000000000000016e-33,5.0000000000000016e-33,5.0000000000000016e-33,1.0,1.0,1.0,1.0,1.0,1.0
17,5.000000000000002e-35,5.000000000000002e-35,5.000000000000002e-35,5.000000000000002e-35,1.0,1.0,1.0,1.0,1.0,1.0
18,5.000000000000002e-37,5.000000000000002e-37,5.000000000000002e-37,5.000000000000002e-37,1.0,1.0,1.0,1.0,1.0,1.0
19,5.0000000000000024e-39,5.0000000000000024e-39,5.0000000000000024e-39,5.0000000000000024e-39,1.0,1.0,1.0,1.0,1.0,1.0
20,5.000000000000003e-41,5.000000000000003e-41,5.000000000000003e-41,5.000000000000003e-41,1.0,1.0,1.0,1.0,1.0,1.0
21,5.0000000000000026e-43,5.0000000000000026e-43,5.0000000000000026e-43,5.0000000000000026e-43,1.0,1.0,1.0,1.0,1.0,1.0
22,5.000000000000003e-45,5.000000000000003e-45,5.000000000000003e-45,5.000000000000003e-45,1.0,1.0,1.0,1.0,1.0,1.0
23,5.000000000000003e-47,5.000000000000003e-47,5.000000000000003e-47,5.000000000000003e-47,1.0,1.0,1.0,1.0,1.0,1.0
24,5.000000000000003e-49,5.000000000000003e-49,5.000000000000003e-49,5.000000000000003e-49,1.0,1.0,1.0,1.0,1.0,1.0
25,5.000000000000003e-51,5.000000000000003e-51,5.000000000000003e-51,5.000000000000003e-51,1.0,1.0,1.0,1.0,1.0,1.0
26,5.000000000000003e-53,5.000000000000003e-53,5.000000000000003e-53,5.000000000000003e-53,1.0,1.0,1.0,1.0,1.0,1.0
27,5.000000000000003e-55,5.000000000000003e-55,5.000000000000003e-55,5.000000000000003e-55,1.0,1.0,1.0,1.0,1.0,1.0
28,5.000000000000003e-57,5.000000000000003e-57,5.000000000000003e-57,5.000000000000003e-57,1.0,1.0,1.0,1.0,1.0,1.0
29,5.000000000000003e-59,5.000000000000003e-59,5.000000000000003e-59,5.000000000000003e-59,1.0,1.0,1.0,1.0,1.0,1.0
30,5.0000000000000026e-61,5.0000000000000026e-61,5.0000000000000026e-61,5.0000000000000026e-61,1.0,1.0,1.0,1.0,1.0,1.0
31,5.000000000000002e-63,5.000000000000002e-63,5.000000000000002e-63,5.000000000000002e-63,1.0,1.0,1.0,1.0,1.0,1.0
32,5.000000000000002e-65,5.000000000000002e-65,5.000000000000002e-65,5.000000000000002e-65,1.0,1.0,1.0,1.0,1.0,1.0
33,5.0000000000000025e-67,5.0000000000000025e-67,5.0000000000000025e-67,5.0000000000000025e-67,1.0,1.0,1.0,1.0,1.0,1.0
34,5.000000000000002e-69,5.000000000000002e-69,5.000000000000002e-69,5.000000000000002e-69,1.0,1.0,1.0,1.0,1.0,1.0
35,5.000000000000002e-71,5.000000000000002e-71,5.000000000000002e-71,5.000000000000002e-71,1.0,1.0,1.0,1.0,1.0,1.0
36,5.0000000000000023e-73,5.0000000000000023e-73,5.0000000000000023e-73,5.0000000000000023e-73,1.0,1.0,1.0,1.0,1.0,1.0
37,5.000000000000003e-75,5.000000000000003e-75,5.000000000000003e-75,5.000000000000003e-75,1.0,1.0,1.0,1.0,1.0,1.0
38,5.000000000000003e-77,5.000000000000003e-77,5.000000000000003e-77,5.000000000000003e-77,1.0,1.0,1.0,1.0,1.0,1.0
39,5.000000000000003e-79,5.000000000000003e-79,5.000000000000003e-79,5.000000000000003e-79,1.0,1.0,1.0,1.0,1.0,1.0
40,5.000000000000004e-81,5.000000000000004e-81,5.000000000000004e-81,5.000000000000004e-81,1.0,1.0,1.0,1.0,1.0,1.0
41,5.0000000000000035e-83,5.0000000000000035e-83,5.0000000000000035e-83,5.0000000000000035e-83,1.0,1.0,1.0,1.0,1.0,1.0
42,5.0000000000000036e-85,5.0000000000000036e-85,5.0000000000000036e-85,5.0000000000000036e-85,1.0,1.0,1.0,1.0,1.0,1.0
43,5.000000000000004e-87,5.000000000000004e-87,5.000000000000004e-87,5.000000000000004e-87,1.0,1.0,1.0,1.0,1.0,1.0
44,5.000000000000004e-89,5.000000000000004e-89,5.000000000000004e-89,5.000000000000004e-89,1.0,1.0,1.0,1.0,1.0,1.0
45,5.000000000000004e-91,5.000000000000004e-91,5.000000000000004e-91,5.000000000000004e-91,1.0,1.0,1.0,1.0,1.0,1.0
46,5.000000000000004e-93,5.000000000000004e-93,5.000000000000004e-93,5.000000000000004e-93,1.0,1.0,1.0,1.0,1.0,1.0
47,5.0000000000000044e-95,5.0000000000000044e-95,5.0000000000000044e-95,5.0000000000000044e-95,1.0,1.0,1.0,1.0,1.0,1.0
48,5.000000000000005e-97,5.000000000000005e-97,5.000000000000005e-97,5.000000000000005e-97,1.0,1.0,1.0,1.0,1.0,1.0
49,5.0000000000000046e-99,5.0000000000000046e-99,5.0000000000000046e-99,5.0000000000000046e-99,1.0,1.0,1.0,1.0,1.0,1.0
50,5.0000000000000045e-101,5.0000000000000045e-101,5.0000000000000045e-101,5.0000000000000045e-101,1.0,1.0,1.0,1.0,1.0,1.0
51,5.000000000000005e-103,5.000000000000005e-103,5.000000000000005e-103,5.000000000000005e-103,1.0,1.0,1.0,1.0,1.0,1.0
52,5.000000000000005e-105,5.000000000000005e-105,5.000000000000005e-105,5.000000000000005e-105,1.0,1.0,1.0,1.0,1.0,1.0
53,5.000000000000005e-107,5.000000000000005e-107,5.000000000000005e-107,5.000000000000005e-107,1.0,1.0,1.0,1.0,1.0,1.0
54,5.000000000000005e-109,5.000000000000005e-109,5.000000000000005e-109,5.000000000000005e-109,1.0,1.0,1.0,1.0,1.0,1.0
55,5.000000000000005e-111,5.000000000000005e-111,5.000000000000005e-111,5.000000000000005e-111,1.0,1.0,1.0,1.0,1.0,1.0
56,5.000000000000005e-113,5.000000000000005e-113,5.000000000000005e-113,5.000000000000005e-113,1.0,1.0,1.0,1.0,1.0,1.0
57,5.000000000000005e-115,5.000000000000005e-115,5.000000000000005e-115,5.000000000000005e-115,1.0,1.0,1.0,1.0,1.0,1.0
58,5.000000000000005e-117,5.000000000000005e-117,5.000000000000005e-117,5.000000000000005e-117,1.0,1.0,1.0,1.0,1.0,1.0
59,5.000000000000005e-119,5.000000000000005e-119,5.000000000000005e-119,5.000000000000005e-119,1.0,1.0,1.0,1.0,1.0,1.0
60,5.000000000000006e-121,5.000000000000006e-121,5.000000000000006e-121,5.000000000000006e-121,1.0,1.0,1.0,1.0,1.0,1.0
